Control ID,Control Name,Syncfusion Control Name,Skill Name,Keywords
1,AIAssistView,SfAIAssistView,syncfusion-winforms-ai-assistview,"ai assistant, conversational ui, chatbot, copilot, intelligent dashboard, prompt-response, streaming responses, real-time, ai service integration, openai, azure openai, llm, markdown, code blocks, prompt suggestions, file attachments, voice input, text-to-speech, speech-to-text, toolbar, templating, conversation history, state persistence, scroll management, multi-view layout"
2,AutoComplete,AutoComplete ,syncfusion-winforms-autocomplete,"autocomplete, typeahead, suggestions, filtering, grouping, virtualization"
3,AutoLabel,AutoLabel,syncfusion-winforms-autolabel,"label, label in winforms, label WF, custom label WF, custom label winforms"
4,BannerTextProvider,BannerTextProvider,syncfusion-winforms-banner-text-provider,"banner, banner text, notification banner, alert banner, message banner"
5,BorderLayout,BorderLayout,syncfusion-winforms-border-layout,"border layout, layout, panel layout, region layout, north south east west center"
6,BulletGraph,BulletGraph ,syncfusion-winforms-bullet-graph,"bullet graph, bullet chart, kpi, key performance indicator, comparison, actual value, target value"
7,Button,SfButton,syncfusion-winforms-button,"button, cta, action, click, primary, secondary, outline, icon, icon button, notification button, profile button, dashboard button"
8,ButtonEdit,ButtonEdit ,syncfusion-winforms-button-edit,"button edit, button textbox, editable button, button input, edit button"
9,Calculator,CalculatorControl,syncfusion-winforms-calculator,"calculator, math, calculate, computation, arithmetic, expression evaluation"
10,Calendar,Calendar ,syncfusion-winforms-calendar,"calendar, date selection, month view, year view, decade view, multiple dates"
11,CardLayout,CardLayout ,syncfusion-winforms-card-layout,"card layout, card based layout, grid cards, responsive cards"
12,Carousel,Carousel ,syncfusion-winforms-carousel,"carousel, slider, image slider, slideshow, swiper, gallery, auto-play, touch, swipe, indicators"
13,Chart,ChartControl ,syncfusion-winforms-chart,"chart, graph, visualization, data visualization, line, area, column, bar, pie, financial, analytics, dashboard"
14,CheckBox,CheckBoxAdv ,syncfusion-winforms-checkbox,"checkbox, input, form, toggle, checked, indeterminate, selection"
15,Clock,Clock ,syncfusion-winforms-clock,"clock, time, analog, digital, time display"
16,ColorPicker,ColorPickerUIAdv ,syncfusion-winforms-color-picker,"color picker, color selection, color picker dialog, rgb, hex, hsv"
17,ColorPickerDropDown,ColorPickerButton,syncfusion-winforms-color-picker-dropdown,"color picker dropdown, color selection dropdown, color palette, standard colors, custom colors"
18,ColorUIControl,ColorUIControl,syncfusion-winforms-color-ui-control,"color ui, color control, color palette, color selector"
19,ComboBox,SfComboBox,syncfusion-winforms-combobox,"combobox, combo box, dropdown, input, search, hybrid, filtering"
20,ComboBoxBase,ComboBoxBase,syncfusion-winforms-comboboxbase,"combobox base, base combobox, dropdown base"
21,ComboDropDown,ComboDropDown,syncfusion-winforms-combodropdown,"combo dropdown, dropdown combo, selection dropdown"
22,CommandBar,CommandBar,syncfusion-winforms-commandbar,"command bar, toolbar, command interface, icon bar"
23,ContextMenuStrip,ContextMenuStripEx,syncfusion-winforms-contextmenustrip,"context menu, right-click menu, contextual menu, popup menu, context strip"
24,CurrencyTextBox,CurrencyTextBox ,syncfusion-winforms-currency-textbox,"currency, currency input, money, decimal, formatting, currency symbol"
25,DataGrid,SfDataGrid ,syncfusion-winforms-datagrid,"grid, data grid, table, data table, sorting, filtering, paging, editing, grouping, aggregation, virtualization, export"
26,DateTimePicker,SfDateTimeEdit,syncfusion-winforms-datetimepicker,"datetime picker, date time, combined date time, time selector, calendar time"
27,Diagram,Diagram,syncfusion-winforms-diagram,"diagram, flowchart, organizational chart, bpmn, uml, mindmap, shapes, connectors, nodes, layout"
28,DockingManager,DockingManager,syncfusion-winforms-docking-manager,"docking manager, docking, layout manager, draggable panels, floating windows, tabbed panels"
29,DomainUpDownExt,DomainUpdownExt,syncfusion-winforms-domainupdownext,"domain up down, spinner, numeric spinner, increment decrement"
30,DoubleTextBox,DoubleTextBox,syncfusion-winforms-double-textbox,"double, double textbox, numeric input, decimal input, double precision"
31,EditableListBox,EditableList,syncfusion-winforms-editable-listbox,"editable listbox, list box, editable list, item management, add remove"
32,ExcelLikeTabBarSplitter,TabBarSplitterControl,syncfusion-winforms-excel-like-tabbar-splitter,"tab bar splitter, excel like, tab splitter, tabbed splitter"
33,FlowLayout,FlowLayout,syncfusion-winforms-flow-layout,"flow layout, layout, flex layout, wrapping layout, dynamic layout"
34,FolderBrowser,FolderBrowser,syncfusion-winforms-folder-browser,"folder browser, browse folder, directory selection, folder picker"
35,FontComboBox,FontComboBox,syncfusion-winforms-fontcombobox,"font combobox, font selector, font dropdown, typeface selection"
36,FontListBox,FontListBox,syncfusion-winforms-fontlistbox,"font listbox, font list, font selection, font display"
37,Form,SfForm,syncfusion-winforms-form,"form, window, dialog, application window, container"
38,GradientLabel,GradientLabel,syncfusion-winforms-gradient-label,"gradient label, gradient text, label with gradient, styled label"
39,GradientPanel,GradientPanel,syncfusion-winforms-gradient-panel,"gradient panel, panel with gradient, gradient container, background gradient"
40,GradientPanelExt,GradientPanelExt,syncfusion-winforms-gradientpanelext,"gradient panel extended, extended gradient panel, gradient panel ext"
41,GridBagLayout,GridBagLayout,syncfusion-winforms-grid-bag-layout,"grid bag layout, complex layout, flexible layout, constraint based layout"
42,GridControl,GridControl,syncfusion-winforms-grid-control,"grid, data grid, table, data table, sorting, filtering, paging, editing, grouping, aggregation, virtualization, export, hierarchy"
43,GridGroupingControl,GridGroupingControl,syncfusion-winforms-grid-grouping-control,"grid grouping, grouping grid, grouped data, hierarchical grouping, summary"
44,GridLayout,GridLayout,syncfusion-winforms-grid-layout,"grid layout, layout, grid rows columns, uniform layout"
45,Grouping,Grouping,syncfusion-winforms-grouping,"grouping, group, data grouping, hierarchical grouping, summary groups"
46,GroupView,GroupView,syncfusion-winforms-group-view,"group view, grouped view, category view, item grouping"
47,HubTile,HubTile,syncfusion-winforms-hub-tile,"hub tile, tile, dashboard tile, animated tile, flip tile"
48,IntegerTextBox,IntegerTextBox ,syncfusion-winforms-integer-textbox,"integer, integer textbox, numeric input, whole number"
49,LayoutManagers,LayoutManagers,syncfusion-winforms-layout-managers,"layout manager, layout, panel layout, container layout"
50,ListView,SfListView,syncfusion-winforms-listview,"listview, list, selection, multi select, checkboxes, icons, details view, tile view"
51,MainFrameBarManager,MainFrameBarManager,syncfusion-winforms-main-frame-bar-manager,"main frame bar manager, frame bar, manager bar, docking bar"
52,Map,Maps,syncfusion-winforms-map,"maps, geospatial, geojson, geospatial visualization, choropleth, markers, bubbles, layers, routes, navigation"
53,MaskedTextBox,MaskedEditBox,syncfusion-winforms-masked-textbox,"masked textbox, mask, input mask, formatted input, phone number, zip code"
54,MessageBox,MessageBoxAdv,syncfusion-winforms-messagebox,"messagebox, message box, dialog, alert, confirmation, information, warning, error"
55,MetroForm,MetroForm,syncfusion-winforms-metroform,"metro form, metro style, modern form, flat design"
56,MultiColumnComboBox,MultiColumnComboBox,syncfusion-winforms-multicolumn-combobox,"multicolumn combobox, tabular dropdown, grid dropdown, structured data"
57,MultiColumnListBox,GridListControl,syncfusion-winforms-multicolumn-listbox,"multicolumn listbox, multi column list, grid list, tabular list"
58,MultiColumnTreeView,MultiColumnTreeView ,syncfusion-winforms-multicolumn-treeview,"multicolumn treeview, tree with columns, structured tree, tabular tree"
59,MultiSelectionComboBox,MultiSelectionComboBox,syncfusion-winforms-multiselect-combobox,"multiselect, multi select, dropdown, chips, multiple selection, filtering"
60,NavigationDrawer,NavigationDrawer,syncfusion-winforms-navigation-drawer,"navigation drawer, drawer, side drawer, navigation menu, sliding menu"
61,NavigationPane,GroupBar,syncfusion-winforms-navigation-pane,"navigation pane, pane, navigation panel, sidebar"
62,NavigationView,NavigationView,syncfusion-winforms-navigation-view,"navigation view, navigation, menu navigation, hierarchical navigation"
63,NumericTextBox,SfNumericTextBox,syncfusion-winforms-numeric-textbox,"numeric, number, input, currency, percent, spinner, decimal, formatting"
64,NumericUpDown,NumericUpDownExt,syncfusion-winforms-numericupdown,"numeric up down, spinner, increment decrement, number picker"
65,Office2007Form,Office2007Form,syncfusion-winforms-office2007form,"office 2007 form, office style, 2007 theme, ribbon style"
66,Office2010Form,Office2010Form,syncfusion-winforms-office2010form,"office 2010 form, office style, 2010 theme, ribbon style"
67,PercentTextBox,PercentTextBox,syncfusion-winforms-percent-textbox,"percent, percentage input, percent formatting"
68,PivotChart,PivotChart ,syncfusion-winforms-pivot-chart,"pivot chart, pivot visualization, financial chart, analysis chart"
69,PivotGrid,PivotGridControl ,syncfusion-winforms-pivot-grid,"pivot, pivot table, pivot grid, data analysis, aggregation, grouping, summarization"
70,PopupMenu,PopupMenu ,syncfusion-winforms-popup-menu,"popup menu, context menu, dropdown menu, menu"
71,Popup,PopupControlContainer,syncfusion-winforms-popup,"popup, overlay, window, floating window, dialog"
72,ProgressBar,ProgressBarAdv,syncfusion-winforms-progress-bar,"progress bar, progress indicator, loading, task progress, completion status, linear, circular, semi-circular, determinate, indeterminate, buffer"
73,RadialGauge,RadialGauge ,syncfusion-winforms-radial-gauge,"radial gauge, gauge, kpi, key performance indicator, quantitative values, radial scale, monitoring, speedometer"
74,RadialMenu,RadialMenu,syncfusion-winforms-radial-menu,"radial menu, circular menu, pie menu, contextual menu, radial action menu"
75,RadialSlider,RadialSlider,syncfusion-winforms-radial-slider,"radial slider, circular slider, rotation, angular input"
76,RadioButton,RadioButtonAdv,syncfusion-winforms-radio-button,"radio, radio button, single select, form, choice"
77,RangeSlider,RangeSlider,syncfusion-winforms-range-slider,"range slider, slider, range, dual slider, input, touch, value"
78,Rating,Rating,syncfusion-winforms-rating,"rating, star rating, user rating, feedback, review"
79,RecordNavigationControl,GridRecordNavigationControl,syncfusion-winforms-record-navigation-control,"record navigation, record navigator, navigation control, pagination"
80,Ribbon,RibbonControlAdv,syncfusion-winforms-ribbon,"ribbon, ribbon bar, command interface, tabbed toolbar, office ui, microsoft office, tabs, groups, items"
81,Scheduler,ScheduleControl,syncfusion-winforms-scheduler,"schedule, scheduler, calendar, appointment, event, meeting, recurring, resource scheduling"
82,ScrollFrame,SfScrollFrame,syncfusion-winforms-scroll-frame,"scroll frame, scrollable container, scroll panel, scrolling area"
83,SmithChart,SfSmithChart,syncfusion-winforms-smith-chart,"smithchart, smith chart, impedance, admittance, reflection coefficient, rf engineering"
84,Sparkline,Sparkline,syncfusion-winforms-sparkline,"sparkline, mini chart, inline chart, small chart, data visualization"
85,SpellChecker,SpellCheckerAdv,syncfusion-winforms-spell-checker,"spell checker, spelling, grammar check, text validation"
86,SplashControl,SplashControl,syncfusion-winforms-splash-control,"splash, splash screen, startup screen, loading screen"
87,SplashPanel,SplashPanel,syncfusion-winforms-splash-panel,"splash panel, splash container, panel container"
88,SplitButton,SplitButton,syncfusion-winforms-splitbutton,"split button, dual action, save, primary secondary"
89,SplitContainer,SplitContainerAdv,syncfusion-winforms-splitcontainer,"split container, splitter, resizable panes, split panel"
90,SplitterControl,SplitterControl,syncfusion-winforms-splitter-control,"splitter, layout, pane, resizable, panels, draggable, separator, multi-pane"
91,StatusBar,StatusBarAdv,syncfusion-winforms-status-bar,"status bar, status, status information, footer bar"
92,StatusBarAdvPanel,StatusBarAdvPanel,syncfusion-winforms-statusbaradv-panel,"status bar advanced, advanced status bar, panel status bar"
93,StatusStrip,StatusStripEx,syncfusion-winforms-statusstrip,"status strip, status bar, status panel, footer"
94,SyntaxEditor,EditControl,syncfusion-winforms-syntax-editor,"syntax editor, code editor, text editor, syntax highlighting, code formatting"
95,TabbedForm,SfTabbedFormControl,syncfusion-winforms-tabbed-form,"tabbed form, tab form, multi tab form, tab dialog"
96,TabSplitterContainer,TabSplitterContainer,syncfusion-winforms-tab-splitter-container,"tab splitter container, tab splitter, tabbed splitter"
97,TabbedMDIManager,TabbedMDIManager,syncfusion-winforms-tabbed-mdi-manager,"tabbed mdi manager, mdi, multiple document interface, tabbed mdi"
98,Tabcontrol,TabControlAdv,syncfusion-winforms-tabcontrol,"tab, tabs, navigation, header, content switching, lazy loading, drag drop, reorder"
99,TextBox,TextBoxExt,syncfusion-winforms-textbox,"textbox, text input, input, form, single line, multiline, floating label, icon"
100,TileLayout,TileLayout,syncfusion-winforms-tile-layout,"tile layout, tile, grid tiles, dashboard tiles, responsive tiles"
101,ToggleButton,ToggleButton,syncfusion-winforms-toggle-button,"toggle button, toggle, switch button, on-off button"
102,ToolTip,SfToolTip,syncfusion-winforms-tooltip,"tooltip, hover, contextual info, information, help text, popup, dynamic positioning"
103,TrackBar,TrackBarEx,syncfusion-winforms-trackbar,"track bar, slider, range selector, value selection"
104,TreeMap,TreeMap,syncfusion-winforms-treemap,"treemap, tree map, hierarchical, nested data, rectangles, area-based, proportional"
105,TreeNavigator,TreeNavigator,syncfusion-winforms-tree-navigator,"tree navigator, tree navigation, hierarchical navigation"
106,TreeView,TreeViewAdv,syncfusion-winforms-treeview,"treeview, tree, hierarchical, folder, nested, expandable, collapse, selection"
107,WizardControl,WizardControl,syncfusion-winforms-wizard-control,"wizard, step wizard, multi-step wizard, wizard control, onboarding, dialog wizard"
108,XPTaskBar,XPTaskBar,syncfusion-winforms-xptaskbar,"xp taskbar, task bar, windows xp style, taskbar"
109,XPTaskPane,XPTaskPane,syncfusion-winforms-xptaskpane,"xp taskpane, task pane, windows xp style, collapsible pane"
110,XPToolBar,XPToolBar,syncfusion-winforms-xptoolbar,"xp toolbar, toolbar, windows xp style, command toolbar"
111,PDFViewer,PDFViewer,syncfusion-winforms-pdf-viewer,"pdf viewer, pdf, document viewer, document, adobe, viewer, render pdf, pdf rendering, page navigation, zoom, text search, text selection, annotations, form fields, bookmarks, thumbnails, printing, downloading, pdf toolbar, accessibility, rtl, react pdf viewer, document-centric, enterprise pdf, pdf review, pdf editing"
112,SpreadsheetEditor,Spreadsheet,syncfusion-winforms-spreadsheet-editor,"spreadsheet, spreadsheet editor, excel, excel-like, spreadsheet UI, xlsx, xls, xlsb, csv, import, export, data binding, JSON, API, cell formatting, formulas, charts, validation, filtering, conditional formatting, virtualization, large datasets, productivity tools, financial, reporting, enterprise, data-intensive"
